dt,close,volume
2020-01-02,213.0,377920
2020-01-03,214.8,1396990
2020-01-06,213.0,444130
2020-01-07,217.0,777460
2020-01-08,210.2,414790
2020-01-09,207.0,463590
2020-01-10,206.6,304320
2020-01-14,212.0,447000
2020-01-15,206.0,308320
2020-01-16,201.0,703890
2020-01-17,213.6,481370
2020-01-20,212.8,310910
2020-01-21,209.4,225600
2020-01-22,209.0,367870
2020-01-23,211.6,278020
2020-01-24,217.0,596560
2020-01-27,213.2,219790
2020-01-28,205.0,795770
2020-01-29,203.6,318090
2020-01-30,200.2,580180
2020-01-31,191.2,876750
2020-02-03,196.0,426520
2020-02-04,195.0,1281730
2020-02-05,190.6,1369170
2020-02-06,191.9,1475450
2020-02-07,192.5,283570
2020-02-10,190.0,514380
2020-02-11,192.0,811210
2020-02-12,192.0,507220
2020-02-13,195.0,275400
2020-02-14,185.2,727570
2020-02-17,188.8,281170
2020-02-18,185.2,500990
2020-02-19,184.0,1798180
2020-02-20,188.0,1087480
2020-02-21,189.0,1135990
2020-02-24,185.6,1239120
2020-02-26,175.1,2328310
2020-02-27,174.5,652780
2020-02-28,170.0,1743110
2020-03-02,167.1,990990
2020-03-03,168.0,1158580
2020-03-04,174.6,869400
2020-03-05,184.0,1144230
2020-03-06,176.5,637540
2020-03-09,163.0,1144100
2020-03-10,158.0,1251780
2020-03-11,166.3,916340
2020-03-12,153.0,1198200
2020-03-13,140.5,2203770
2020-03-16,121.0,2237330
2020-03-19,91.1,3310100
2020-03-20,100.0,1994100
2020-03-23,95.0,2580240
2020-03-24,95.0,1597120
2020-03-25,98.45,4027090
2020-03-26,102.2,3227240
2020-03-27,107.0,3592270
2020-03-30,103.0,801630
2020-03-31,106.4,1549020
2020-04-01,103.2,2526960
