dt,close,volume,dividend
2018-01-03,255.4,745780,0
2018-01-04,255.0,617010,0
2018-01-05,255.0,946040,0
2018-01-08,256.0,840630,0
2018-01-09,255.8,978180,0
2018-01-10,255.4,447710,0
2018-01-11,255.0,681780,0
2018-01-12,255.0,1311930,0
2018-01-15,263.8,1256670,0
2018-01-16,277.6,1795160,0
2018-01-17,277.6,1680700,0
2018-01-18,279.0,1484360,0
2018-01-19,280.0,560060,0
2018-01-22,283.0,1001520,0
2018-01-23,282.2,1179360,0
2018-01-24,282.0,714160,0
2018-01-25,293.0,491640,0
2018-01-26,292.2,375570,0
2018-01-29,285.4,542160,0
2018-01-30,284.2,1125860,0
2018-01-31,284.8,910980,0
2018-02-01,287.2,512760,0
2018-02-02,294.0,943050,0
2018-02-05,282.0,742600,0
2018-02-06,289.0,1021600,0
2018-02-07,293.2,582230,0
2018-02-08,292.8,871390,0
2018-02-09,292.0,413260,0
2018-02-12,283.0,741090,0
2018-02-13,277.0,763250,0
2018-02-14,278.0,1491080,0
2018-02-15,285.0,516060,0
2018-02-19,285.0,492990,0
2018-02-20,286.0,397190,0
2018-02-21,282.0,442680,0
2018-02-22,282.0,602290,0
2018-02-23,282.0,1269870,0
2018-02-26,292.0,839100,0
2018-02-27,295.0,815230,0
2018-02-28,298.4,1052820,0
2018-03-01,297.6,663930,0
2018-03-02,298.0,735080,0
2018-03-05,299.6,388840,0
2018-03-06,298.6,833460,0
2018-03-07,304.0,853340,0
2018-03-08,295.0,367970,0
2018-03-09,292.0,352590,0
2018-03-12,295.4,303520,0
2018-03-13,293.0,557650,0
2018-03-14,288.4,757340,0
2018-03-15,284.0,1140780,0
2018-03-16,305.4,2052470,0
2018-03-19,298.0,531280,0
2018-03-20,286.0,1028940,0
2018-03-21,285.0,953100,0
2018-03-22,286.8,573890,0
2018-03-23,288.0,864870,0
2018-03-26,295.0,404650,0
2018-03-27,294.4,356420,0
2018-03-28,299.0,759390,0
2018-04-02,300.0,701450,0
2018-04-03,296.4,1392970,0
2018-04-04,285.0,1021530,0
2018-04-05,280.0,497530,0
2018-04-06,278.0,1301960,0
2018-04-10,284.0,1189830,0
2018-04-11,289.6,1197810,0
2018-04-12,300.0,268920,0
2018-04-13,292.2,1000070,0
2018-04-16,291.6,478570,0
2018-04-17,288.6,1061840,0
2018-04-18,294.2,496950,0
2018-04-19,285.0,1653070,0
2018-04-20,291.0,662390,0
2018-04-23,294.0,302310,0
2018-04-24,285.0,891380,0
2018-04-25,281.6,1202880,0
2018-04-26,280.0,1333040,0
2018-04-27,282.0,275720,0
2018-04-30,285.0,720250,0
2018-05-02,283.0,439510,0
2018-05-03,275.0,919090,0
2018-05-04,275.4,863750,0
2018-05-07,279.0,790120,0
2018-05-08,278.0,1470730,0
2018-05-09,283.0,646300,0
2018-05-10,279.8,949240,0
2018-05-11,285.0,366080,0
2018-05-15,283.0,1041560,0
2018-05-16,286.6,495600,0
2018-05-17,285.0,432100,0
2018-05-18,285.0,236440,0
2018-05-21,280.0,355840,0
2018-05-22,284.0,570700,0
2018-05-23,287.0,574100,0
2018-05-24,285.0,376390,0
2018-05-25,281.2,486670,0
2018-05-28,280.4,338540,0
2018-05-29,283.0,317450,0
2018-05-30,280.0,1104490,0
2018-05-31,274.0,2835720,0
2018-06-01,283.8,750260,0
2018-06-04,280.4,1839120,0
2018-06-05,280.2,696340,0
2018-06-06,280.8,664040,0
2018-06-07,282.6,435860,0
2018-06-08,284.0,235220,0
2018-06-11,285.0,487600,0
2018-06-13,279.0,1075600,0
2018-06-14,279.2,1393440,0
2018-06-18,277.2,609580,0
2018-06-19,284.0,757250,0
2018-06-20,279.0,726920,0
2018-06-21,270.0,1867510,0
2018-06-22,267.0,1497250,0
2018-06-25,268.4,757810,0
2018-06-26,270.6,370900,0
2018-06-27,271.0,529860,0
2018-06-28,259.6,1761980,0
2018-06-29,263.0,378480,0
2018-07-02,260.0,965510,0
2018-07-03,260.0,925680,0
2018-07-04,259.8,1220700,0
2018-07-05,254.0,635340,0
2018-07-06,251.0,583500,0
2018-07-09,245.0,736500,0
2018-07-10,246.0,535530,0
2018-07-11,247.2,760520,0
2018-07-12,249.8,1783980,0
2018-07-13,251.8,611160,0
2018-07-16,248.8,273670,0
2018-07-17,252.6,240860,0
2018-07-18,254.2,142770,0
2018-07-19,253.0,164630,0
2018-07-20,250.0,585790,0
2018-07-23,250.0,257100,0
2018-07-24,251.0,224900,0
2018-07-25,251.2,207290,0
2018-07-26,256.2,714360,0
2018-07-27,266.0,646770,0
2018-07-30,266.0,281580,0
2018-07-31,270.0,997780,0
2018-08-01,279.4,789140,0
2018-08-02,276.0,510190,0
2018-08-03,277.0,442350,0
2018-08-06,280.0,355370,0
2018-08-07,270.0,641970,0
2018-08-08,276.8,316510,0
2018-08-09,269.0,448860,0
2018-08-10,267.0,492160,0
2018-08-13,270.0,242500,0
2018-08-14,273.4,394990,0
2018-08-15,274.0,334270,0
2018-08-16,266.8,635710,0
2018-08-17,271.2,985800,0
2018-08-20,273.0,403650,0
2018-08-22,286.0,1729220,0
2018-08-23,293.0,2015570,0
2018-08-24,288.0,582540,0
2018-08-28,290.2,836640,0
2018-08-29,287.4,687570,0
2018-08-30,286.0,545750,0
2018-08-31,288.0,1025030,0
2018-09-03,282.0,347880,0
2018-09-04,286.6,575500,0
2018-09-05,285.0,477030,0
2018-09-06,276.0,745500,0
2018-09-07,281.0,546950,0
2018-09-10,278.4,799990,0
2018-09-11,276.0,358670,0
2018-09-12,269.0,572730,0
2018-09-13,277.0,550430,0
2018-09-14,269.0,560990,0
2018-09-17,275.0,167450,0
2018-09-18,272.0,692650,0
2018-09-19,264.0,542930,0
2018-09-20,271.0,361700,0
2018-09-21,272.0,694330,0
2018-09-24,271.0,207870,0
2018-09-25,268.8,229530,0
2018-09-26,266.2,132640,0
2018-09-27,259.0,804170,0
2018-09-28,257.0,605490,0
2018-10-01,252.0,394210,0
2018-10-02,250.0,913210,0
2018-10-03,252.0,393580,0
2018-10-04,252.0,359360,0
2018-10-05,247.0,897790,0
2018-10-08,243.0,927610,0
2018-10-09,252.4,427280,0
2018-10-10,246.0,390150,0
2018-10-11,254.0,490960,0
2018-10-12,262.0,440520,0
2018-10-15,250.0,480350,0
2018-10-16,254.2,864680,0
2018-10-17,258.6,379720,0
2018-10-18,260.0,328170,0
2018-10-19,265.0,328340,0
2018-10-22,272.0,699990,0
2018-10-23,268.0,688370,0
2018-10-24,264.2,462050,0
2018-10-25,262.0,469150,0
2018-10-26,270.0,698210,0
2018-10-29,270.0,366380,0
2018-10-30,264.0,823140,0
2018-10-31,276.0,1466050,0
2018-11-05,280.0,1688940,0
2018-11-06,278.6,646700,0
2018-11-07,280.0,569150,0
2018-11-08,280.0,815650,0
2018-11-09,278.0,333550,0
2018-11-12,274.0,337800,0
2018-11-13,272.8,899670,0
2018-11-14,279.0,677510,0
2018-11-15,280.0,371040,0
2018-11-16,282.0,514500,0
2018-11-19,282.0,562330,0
2018-11-20,279.0,388900,0
2018-11-21,282.0,437010,0
2018-11-22,285.0,589260,0
2018-11-23,283.0,372480,0
2018-11-26,280.0,316450,0
2018-11-27,283.0,712330,0
2018-11-28,280.0,654090,0
2018-11-29,278.4,2113500,0
2018-12-03,286.8,1030870,0
2018-12-04,289.6,1533830,0
2018-12-05,294.0,735640,0
2018-12-06,296.0,504510,0
2018-12-07,295.0,574500,0
2018-12-10,291.0,264940,0
2018-12-11,297.0,602960,0
2018-12-12,294.0,1701840,0
2018-12-13,294.6,484920,0
2018-12-14,298.0,1378350,0
2018-12-17,300.0,1255210,0
2018-12-18,301.2,1014270,0
2018-12-19,305.0,1796000,0
2018-12-20,303.0,659480,0
2018-12-21,302.4,715510,0
2018-12-26,292.0,1087620,0
2018-12-27,295.0,585760,0
2018-12-28,291.8,425440,0
2019-01-02,293.0,181410,0
2019-01-03,292.0,1665440,0
2019-01-04,309.0,1622480,0
2019-01-07,323.0,1004160,0
2019-01-08,321.0,623090,0
2019-01-09,319.0,1659810,0
2019-01-10,314.0,1064200,0
